,rank,songname,artist,urls,lyrics_raw
0,,,,,"[Verse 1] / Loving can hurt, loving can hurt sometimes / But it's the only thing that I know / When it gets hard, you know it can get hard sometimes / It's the only thing that makes us feel alive / [Pre-Chorus] / We keep this love in a photograph / We made these memories for ourselves / Where our eyes are never closing / Our hearts were never broken / And time's forever frozen, still / [Chorus 1] / So you can keep me / Inside the pocket of your ripped jeans / Holding me close until our eyes meet / You won't ever be alone, wait for me to come home / [Verse 2] / Loving can heal, loving can mend your soul / And it's the only thing that I know / I swear it will get easier, remember that with every piece of ya / And it's the only thing to take with us when we die / [Pre-Chorus] / We keep this love in a photograph / We made these memories for ourselves / Where our eyes are never closing / Our hearts were never broken / And time's forever frozen, still / [Chorus 2] / So you can keep me / Inside the pocket of your ripped jeans / Holding me close until our eyes meet / You won't ever be alone / And if you hurt me, that's okay baby / Only words bleed inside these pages / You just hold me / And I won’t ever let you go / Wait for me to come home / Wait for me to come home / Wait for me to come home / Wait for me to come home / [Bridge] / Oh you can fit me / Inside the necklace you got when you were sixteen / Next to your heartbeat where I should be / Keep it deep within your soul / And if you hurt me, that's okay baby / Only words bleed inside these pages / You just hold me / And I won’t ever let you go / [Outro] / When I'm away, I will remember how you kissed me / Under the lamppost back on Sixth street / Hearing you whisper through the phone / Wait for me to come home"
1,,,,,"[Verse 1] / Hello, it's me / I was wondering if after all these years / You'd like to meet, to go over everything / They say that time's supposed to heal ya / But I ain't done much healing / Hello, can you hear me? / I'm in California dreaming / About who we used to be / When we were younger and free / I've forgotten how it felt / Before the world fell at our feet / There's such a difference between us / And a million miles / [Chorus] / Hello from the other side / I must've called a thousand times / To tell you I'm sorry / For everything that I've done / But when I call, you never seem to be home / Hello from the outside / At least I can say that I've tried / To tell you I'm sorry, for breaking your heart / But it don't matter / It clearly doesn't tear you apart anymore / [Verse 2] / Hello, how are you? / It's so typical of me to talk about myself, I'm sorry / I hope that you're well / Did you ever make it out of that town / Where nothing ever happened? / It's no secret / That the both of us are running out of time / [Chorus] / So hello from the other side / I must've called a thousand times / To tell you I'm sorry / For everything that I've done / But when I call, you never seem to be home / Hello from the outside / At least I can say that I've tried / To tell you I'm sorry, for breaking your heart / But it don't matter / It clearly doesn't tear you apart anymore / [Bridge] / Ooooohh, anymore / Ooooohh, anymore / Ooooohh, anymore / Anymore / [Chorus] / Hello from the other side / I must've called a thousand times / To tell you I'm sorry / For everything that I've done / But when I call, you never seem to be home / Hello from the outside / At least I can say that I've tried / To tell you I'm sorry, for breaking your heart / But it don't matter / It clearly doesn't tear you apart anymore / [Produced by Greg Kurstin] / [Music Video]"
2,,,,,"[Music Video] / [Verse 1] / I thought that I've been hurt before / But no one's ever left me quite this sore / Your words cut deeper than a knife / Now I need someone to breathe me back to life / [Pre-Chorus] / Got a feeling that I'm going under / But I know that I'll make it out alive / If I quit calling you my lover / Move on / [Chorus] / You watch me bleed until I can't breathe, shaking / Falling onto my knees / And now that I'm without your kisses / I'll be needing stitches / Tripping over myself, aching / Begging you to come help / And now that I'm without your kisses / I'll be needing stitches / [Verse 2] / Just like a moth drawn to a flame / Oh, you lured me in I couldn't sense the pain / Your bitter heart, cold to the touch / Now I'm gonna reap what I sow / I'm left seeing red on my own / [Pre-Chorus] / Got a feeling that I'm going under / But I know that I'll make it out alive / If I quit calling you my lover / Move on / [Chorus] / You watch me bleed until I can't breathe, shaking / Falling onto my knees / And now that I'm without your kisses / I'll be needing stitches / Tripping over myself, aching / Begging you to come help / And now that I'm without your kisses / I'll be needing stitches / [Bridge] / Needle and the thread, gotta get you out of my head / Needle and the thread, gonna wind up dead / Needle and the thread, gotta get you out of my head / Needle and the thread, gonna wind up dead / Needle and the thread, gotta get you out of my head / Needle and the thread, gonna wind up dead / Needle and the thread, gotta get you out of my head / Get you out of my head / [Chorus] / You watch me bleed until I can't breathe, shaking / Falling onto my knees / And now that I'm without your kisses / I'll be needing stitches / Tripping over myself, aching / Begging you to come help / And now that I'm without your kisses / I'll be needing stitches / [Refrain] / Now that I'm without your kisses / I'll be needing stitches / Now that I'm without your kisses / I'll be needing stitches"
3,,,,,"[Verse 1] / Bed, stay in bed / The feeling of your skin locked in my head / Smoke, smoke me broke / I don't care, I'm down for what you want / [Pre-Chorus] / Day drunk into the night, wanna keep you here / Cause you dry my tears, yeah / Summer lovin' and fights, how it is for us / And it's all because / [Chorus] / Now if we're talking body / You got a perfect one, so put it on me / Swear it won't take you long / If you love me right, we fuck for life / On and on and on / Now if we're talking body / You got a perfect one, so put it on me / Swear it won't take you long / If you love me right, we fuck for life / On and on and on / [Verse 2] / Love, give me love / Anything you want I'll give it up / Lips, lips I kiss / Bite me while I taste your fingertips / [Pre-Chorus] / Day drunk into the night, wanna keep you here / Cause you dry my tears, yeah / Summer lovin' and fights, how it is for us / And it's all because / [Chorus] / Now if we're talking body / You got a perfect one, so put it on me / Swear it won't take you long / If you love me right, we fuck for life / On and on and on / Now if we're talking body / You got a perfect one, so put it on me / Swear it won't take you long / If you love me right, we fuck for life / On and on and on / [Bridge] / Bodies, our baby making bodies we just use for fun / Bodies, let's use 'em up 'til every little piece is gone / (Let's go) On and on and on / (Let's go) On and on / (Let's go) / [Chorus] / Now if we're talking body / You got a perfect one, so put it on me / Swear it won't take you long / If you love me right, we fuck for life / On and on and on / Now if we're talking body / You got a perfect one, so put it on me / Swear it won't take you long / If you love me right, we fuck for life / On and on and on / [Chorus] / Now if we're talking body / Put it on me / If you love me right, we fuck for life / On and on and on / Now if we're talking body / You got a perfect one so put it on me / Swear it won't take you long / If you love me right, we fuck for life / On and on and on"
4,,,,,"[Verse 1] / I don't like the way he’s looking at you / I'm starting to think you want him too / Am I crazy? Have I lost ya? / Even though I know you love me, can't help it / [Pre-Chorus] / I turn my chin music up / And I'm puffing my chest / I’m getting red in the face / You can call me obsessed / It’s not your fault that they hover / I mean no disrespect / It's my right to be hellish / I still get jealous / [Chorus] / Cause you're too sexy, beautiful / And everybody wants a taste / That’s why I still get jealous / Cause you're too sexy, beautiful / And everybody wants a taste / That's why I still get jealous / [Verse 2] / I wish you didn't have to post it all / I wish you'd save a little bit just for me / Protective or possessive? Girl / Call it passive or aggressive? / [Pre-Chorus] / I turn my chin music up / And I'm puffing my chest / I’m getting red in the face / You can call me obsessed / It’s not your fault that they hover / I mean no disrespect / It's my right to be hellish / I still get jealous / [Chorus] / Cause you're too sexy, beautiful / And everybody wants a taste / That’s why I still get jealous / Cause you're too sexy, beautiful / And everybody wants a taste / That's why I still get jealous / [Bridge] / We're the only ones invited / Say there's no one else for you / Cause you know I get excited, yeah / When you get jealous too / [Pre-Chorus] / I turn my chin music up / And I'm puffing my chest / I’m getting red in the face / You can call me obsessed / It's not your fault that they hover / I mean no disrespect / It's my right to be hellish / I still get jealous / [Chorus] / Cause you're too sexy, beautiful / And everybody wants a taste / That’s why I still get jealous / Cause you're too sexy, beautiful / And everybody wants a taste / That's why I still get jealous / [Outro] / Oh, that's why I still get jealous / Oh, that's why I still get jealous"
5,,,,,"[Pre-Chorus: Ne-Yo] / I know my rent was gon' be late bout a week ago / I worked my ass off, but I still can't pay it though / But I got just enough / To get off in this club / Have me a good time, before my time is up / Hey, let's get it now / [Chorus: Ne-Yo] / Oooh!!  I want the time of my life / Oh baby ooh give me the time of my life / Let's get it now / [Verse 1: Pitbull] / Mr. Worldwide / Ne-yo / This is the last $20 I got / But I'mma have a good time ballin' or out / Tell the bartender, line up some shots / Cause I'mma get loose tonight / She's on fire, she's so hot / I'm no liar, she burn up the spot / Look like Mariah, I took another shot / Told her drop, drop, drop, drop it like it's hot / Dirty talk, dirty dance / She a freaky girl and I'm a freaky man / She on the rebound, broke up with her ex / And I'm like Rodman, ready on deck / I told her I wanna ride out, and she said yes / We didn't go to church, but I got blessed / [Pre-Chorus: Ne-Yo] / I know my rent was gon' be late bout a week ago / I worked my ass off, but I still can't pay it though / But I got just enough / To get off in this club / Have me a good time, before my time is up / Hey, let's get it now / [Chorus: Ne-Yo] / Oooh!!  I want the time of my life / Oh baby ooh give me the time of my life / Let's get it now / [Verse 2: Pitbull] / Tonight I'mma lose my mind / Better get yours cause I'm gonna get mine / Party every night, like my last / Mami know the drill, shake that ass / Go ahead baby let me see what you got / You know you got the biggest booty in this spot / And I just wanna see that thing drawwwwp / From the back to the front to the top / You know me I'm off in the cut / Always like a squirrel, looking for a nut / This isn't for show I'm not talking 'bout luck / I'm not talking 'bout love, I'm talking 'bout lust / Now let's get loose, have some fun / Forget about bills and the first of the month / It's my night, your night, our night, let's turn it up / [Pre-Chorus: Ne-Yo] / I know my rent was gon' be late bout a week ago / I worked my ass off, but I still can't pay it though / But I got just enough / To get off in this club / Have me a good time, before my time is up / Hey, let's get it now / [Chorus: Ne-Yo] / Oooh!!  I want the time of my life / Oh baby ooh give me the time of my life / Let's get it now / [Bridge: Ne-Yo] / Everybody’s gone through something / (Everybody’s gone through something) / I said, everybody’s gone through something / (Everybody’s gone through something) / So you might as well you roll it up / Pour it up, drink it up, throw it up tonight / I said, everybody gone through something / (Everybody’s gone through something) / Said, everybody gone through something / (Everybody’s gone through something) / So you might as well you roll it up / Pour it up, drink it up, throw it up tonight / [Break: Pitbull] / This for everybody going through tough times / Believe me, been there, done that / But every day above ground is a great day, remember that—Dale! / [Pre-Chorus: Ne-Yo] / I know my rent was gon' be late bout a week ago / I worked my ass off, but I still can't pay it though / But I got just enough / To get off in this club / Have me a good time, before my time is up / Hey, let's get it now / [Chorus: Ne-Yo] / Oooh!!  I want the time of my life / Oh baby ooh give me the time of my life / Let's get it now"
6,,,,,"[Produced by Cirkut & Dr. Luke] / [Chorus: Adam Levine] / If I got locked away / And we lost it all today / Tell me honestly, would you still love me the same? / If I showed you my flaws / If I couldn't be strong / Tell me honestly, would you still love me the same? / [Verse 1: R. City] / Right about now / If a judge 'for life' me, would ya stay by my side? / Or is you gonna say goodbye? / Can you tell me right now? / If I couldn't buy you the fancy things in life / Shawty, would it be alright? / Come on show me that you are down / [Pre-Chorus: R. City] / Now tell me would you really ride for me? / Baby tell me would you die for me? / Would you spend your whole life with me? / Would you be there to always hold me down? / Tell me would you really cry for me? / Baby don't lie to me / If I didn't have anything / I wanna know, would you stick around? / [ / Chorus: Adam Levine / ] / If I got locked away / And we lost it all today / Tell me honestly, would you still love me the same? / If I showed you my flaws / If I couldn't be strong / Tell me honestly, would you still love me the same? / [Verse 2: R. City] / Skilidi dong dong dong dang / All I want is somebody real, who don't need much / A gyal I know that I can trust / To be here when money low / If I did not have nothing else to give but love / Would that even be enough? / Gyal me need fi know / [Pre-Chorus: R. City] / Now tell me would you really ride for me? / Baby tell me would you die for me? / Would you spend your whole life with me? / Would you be there to always hold me down? / Tell me would you really cry for me? / Baby don't lie to me / If I didn't have anything / I wanna know, would you stick around? / [Chorus: Adam Levine] / If I got locked away / And we lost it all today / Tell me honestly, would you still love me the same? / If I showed you my flaws / If I couldn't be strong / Tell me honestly, would you still love me the same? / [Bridge: R. City] / Tell me, tell me, would you want me? / Tell me, tell me, would you call me? / If you knew I wasn't / balling / Cause I need a gyal who's always by my side / Tell me, tell me, do you need me? / Tell me, tell me, do you love me? / Or is you just tryna play me? / Cause I need a gyal to hold me down for life / [Chorus: Adam Levine] / If I got locked away / And we lost it all today / Tell me honestly would you still love me the same? / If I showed you my flaws / If I couldn't be strong / Tell me honestly, would you still love me the same? / [Chorus: Adam Levine] / If I got locked away / And we lost it all today / Tell me honestly would you still love me the same? / If I showed you my flaws / If I couldn't be strong / Tell me honestly, would you still love me the same?"
7,,,,,"[Intro] / Come on / Natalie La Rose / [Chorus: Jeremih] / I wanna rock with somebody / I wanna take shots with somebody / I wanna leave with somebody / And we ain't gonna tell nobody, we ain't gonna tell nobody / [Verse 1: Natalie La Rose] / Walk in, everybody knows what's good / But some gonna hate, what's new? / We just do our thing, no time to waste / Always play it cool / [Pre-Chorus: Natalie La Rose (Jeremih)] / And at the end of the night when the lights go out / Will we turn down? Oh no we won't / (We ain't never turnin' down, we ain't never turnin' down) / And when they try to make us leave / We turn and say we never going home / (And you know just what I wanna do) / [Chorus: Jeremih] / I wanna rock with somebody / I wanna take shots with somebody / I wanna leave with somebody / And we ain't gotta tell nobody, we ain't gotta tell nobody / [Verse 2: Natalie La Rose] / Walk in, everybody know what's good / We're our only plug / Bring us everything we think we need / Tonight is goin' up / Tonight is goin' up / [Pre-Chorus: Natalie La Rose (Jeremih)] / And at the end of the night when the lights go out / Will we turn down? Oh no we won't / (We ain't never turnin' down, we ain't never turnin' down) / And when they try to make us leave / We turn and say we never going home / (And you know just what I wanna do) / [Chorus: Jeremih] / I wanna rock with somebody / I wanna take shots with somebody / I wanna leave with somebody / And we ain't gotta tell nobody, we ain't gotta tell nobody / [Bridge: Natalie La Rose] / In the club like what / We be in the party in the club like what / And the club like / We be in the city going dumb like what / In the club like what / We be in the party in the club like what / We be in the city going dumb like what / We be in the party in the club like what / [Pre-Chorus: Natalie La Rose (Jeremih)] / And at the end of the night when the lights go out / Will we turn down? Oh no we won't / (We ain't never turnin' down, we ain't never turnin' down) / And when they try to make us leave / We turn and say we never going home / (And you know just what I wanna do) / [Chorus: Jeremih] / I wanna rock with somebody / I wanna take shots with somebody / I wanna leave with somebody / And we ain't gotta tell nobody, we ain't gotta tell nobody"
8,,,,,"[Produced by Dallas Austin, Mike Dean & Paul McCartney] / [Video directed by Inez and Vinoodh] / [Verse 1: Rihanna] / I think I've had enough / I might get a little drunk / I say what's on my mind / I might do a little time / Cause all of my kindness / Is taken for weakness / [Chorus: Rihanna] / Now I'm FourFiveSeconds from wildin' / And we got three more days 'til Friday / I'm just tryna make it back home by Monday mornin' / I swear I wish somebody would dare me / Ooh, that's all I want / [Verse 2: Kanye West & / Paul McCartney / ] / Woke up an optimist / Sun was shinin', I'm positive / We can run / Then I heard you was talkin' trash / I'm on a mystery / Hold me back, I'm 'bout to spaz / [Chorus: Rihanna and Kanye] / Yeah, 'bout FourFiveSeconds from wildin' / And we got three more days ‘til Friday / I’m tryna make it back home by Monday mornin' / I swear I wish somebody would try me / Ooh, that’s all I want / [Bridge: Rihanna] / And I know that you're up tonight / Thinkin', ""How could I be so selfish?"" / But you called 'bout a thousand times / Wondering where I've been / Now I know that you're up tonight / Thinkin' ""How could I be so reckless?"" / But I just can't apologize / I hope you can understand / [Verse 3: Kanye West] / If I go to jail tonight / Promise you'll pay my bail / See they want to buy my pride / But that just ain't up for sale / See all of my kindness / Is taken for weakness / [Chorus: Rihanna and Kanye] / Now I'm FourFiveSeconds from wildin' / And we got three more days 'til Friday / I'm just tryna make it back home by Monday mornin' / I swear I wish somebody would tell me / Ooh, that's all I want / FourFiveSeconds from wildin' / And we got three more days 'til Friday / I'm just tryna make it back home by Monday mornin' / I swear I wish somebody would tell me / Cause that's all I want"
9,,,,,"[Intro] / Du du du du-du du du / Du du du du du-du du du / [Chorus] / Some legends are told / Some turn to dust or to gold / But you will remember me / Remember me, for centuries / Just one mistake / Is all it will take / We'll go down in history / Remember me for centuries / Hey, hey, hey / Remember me for centuries / [Verse 1] / Mummified my teenage dreams / No, it’s nothing wrong with me / The kids are all wrong, the story’s all off / Heavy metal broke my heart / Come on, come on, and let me in / Bruises on your thighs like my fingerprints / And this is supposed to match / The darkness that you felt / I never meant for you to fix yourself / [Chorus] / [Verse 2] / And I can't stop 'til the whole world knows my name / Cause I was only born inside my dreams / Until you die for me, as long as there's a light, my shadow's over you / Cause I am the opposite of amnesia / And you're a cherry blossom / You're about to bloom / You look so pretty, but you're gone so soon / [Chorus] / [Bridge] / We’ve been here forever / And here’s the frozen proof / I could scream forever / We are the poisoned youth / [Chorus]"
10,,,,,"[Intro: Fetty Wap] / Ayy, yeah, baby / Squaaa, ayy, ayy / [Hook: Fetty Wap] / Baby, won't you come my way? / Got something I want to say / Cannot keep you out my brain / But first off I'mma start by sayin' this, ayy / All headshots if you think you could take my bitch, ayy / And I'm too turnt, when I shoot, swear I won't miss, ayy / Ba-Baby, won't you come my way? / Baby, won't you come my way? / [Verse 1: Fetty Wap] / Ba-Ba-Baby / This is something you should know / I don't ever chase no hoes / I spotted you, you had that glo / Watch me pull out all this dough / Take you where you want to go / Flexin' on your ex, I know / He ain't ever take you out / Barely even left your house / How dare that nigga run his mouth / When his pockets in a drought? / The last single he put out / Didn't even make it out / And he dumb as hell and I swear his ass don't think, ayy / If he disrespect, two shots and I won't blink, ayy / Never really cared what the fuck these niggas think, ayy / I got deep pockets, I swear my shit's on sink, ayy / And he mad as fuck, big ZooWap all she sing, ayy / And he mad as fuck, big ZooWap in her dreams, ayy / Well, he mad as fuck, when they sex she scream for me, ayy / Big ZooWap what these niggas should be, ayy / [Hook: Fetty Wap] / Baby, won't you come my way? / Got something I want to say / Cannot keep you out my brain / But first off I'mma start by sayin' this, ayy / All headshots if you think you could take my bitch, ayy / And I'm too turnt, when I shoot, swear I won't miss, ayy / Ba-Baby, won't you come my way? / Baby, won't you come my way? / [Verse 2: Monty] / Oh, baby girl, you can stay the night 'til the morn' / All this ice on my arm, what you like, what you want? / And I might put you on, bitch, it's mine can't you see? / And I rock seventeen, all these knots in my jeans / Me and Zoo turnin' up, / got your boo in the cut / And she sue cause it's looking like the roof going up / Counting all this bread, I don't talk to feds / Try and take my bitch, you gonna take two to the head / Cause baby you the baddest, / all this money, I'mma cash it / And I'm swervin' all in traffic / While I'm trapping out the mansion / And I'm moving through the tri-state / Do two-hundred on the highway / And I'm swerving in my i8 / Baby, you should come my way / Squad!"
11,,,,,"[Verse 1] / I don't know if you were looking at me or not / You probably smile like that all the time / And I don't mean to bother you but / I couldn't just walk by / And not say hi / And I know your name / Cause everybody in here knows your name / And you're not looking for anything right now / So I don't wanna come on strong / Don't get me wrong / Your eyes are so intimidating / My heart is pounding but / It's just a conversation / No girl I'm not wasted / You don't know me / I don't know you but I want to / [Chorus] / I don't wanna steal your freedom / I don't wanna change your mind / I don't have to make you love me / I just want to take your time / I don't wanna wreck your Friday / I ain't gonna waste my lines / I don't have to take your heart / I just wanna take your time / [Verse 2] / And I know it starts with hello / And the next thing you know you're try to be nice / And some guys getting too close / Trying to pick you up / Trying to get you drunk / And I'm sure one of your friends is about to come over here / Cause she's supposed to save you from random guys / That talk too much and wanna stay too long / It's the same old song and dance but I think you know it well / You could've rolled your eyes / Told me to go to hell / Could've walked away / But you're still here / And I'm still here / Come on let's see where it goes / [Chorus 2] / I don't wanna steal your freedom / I don't wanna change your mind / I don't have to make you love me / I just wanna take your time / I don't have to meet your mother / We don't have to cross that line / I don't wanna steal your covers / I just wanna take your time / [Bridge] / I don't wanna go home with you / I just wanna be alone with you / [Chorus 3] / I don't wanna steal your freedom / I don't wanna change your mind / I don't have to make you love me / I just wanna take your time / I don't wanna blow your phone up / I just wanna blow your mind / I don't have to take your heart / I just wanna take your time / No, I ain't gotta call you baby / And I ain't gotta call you mine / I don't have to take your heart / I just wanna take your time"
